optionId,productId,optionName,optionImageColor,optionImageIcon,optionDimensions,optionWeight,optionMaterials,optionInput,optionOutput,optionPrice
62,27,Black,#333333,,142.8 × 72.6 × 16.2 mm,220g,Not Specified,"DC 5V/2A, Output 2 USB","5V/2A (One device), 5V/1A (Two devices)",19
63,27,White,#FFFFFF,,142.8 × 72.6 × 16.2 mm,220g,Not Specified,"DC 5V/2A, Output 2 USB","5V/2A (One device), 5V/1A (Two devices)",19
64,28,Black,#333333,,Not Specified,Not Specified,Not Specified,,,19.95
65,28,White,#FFFFFF,,Not Specified,Not Specified,Not Specified,,,19.95
66,29,Gold,#EFDFB4,,Not Specified,Not Specified,Not Specified,,,49.99
67,29,Graphite,#B9B9B9,,Not Specified,Not Specified,Not Specified,,,49.99
68,30,,,,445 x 150 x 450mm,708g,600D Polyester,,,50
69,31,Black,#333333,,350 x 130 x 390mm,740g,Canvas,,,50
70,31,Blue Gray,#3F5263,,351 x 130 x 390mm,741g,Canvas,,,50
71,32,,,,380 x 290 x 130mm,930g,Canvas + Leather,,,99
72,33,XS,,,Not Specified,Not Specified,"95% Cotton, 5% Polyurethane",,,20
73,33,S,,,Not Specified,Not Specified,"96% Cotton, 5% Polyurethane",,,20
74,33,M,,,Not Specified,Not Specified,"97% Cotton, 5% Polyurethane",,,20
75,33,L,,,Not Specified,Not Specified,"98% Cotton, 5% Polyurethane",,,20
76,33,XL,,,Not Specified,Not Specified,"99% Cotton, 5% Polyurethane",,,20
77,33,XXL,,,Not Specified,Not Specified,"100% Cotton, 5% Polyurethane",,,20
78,33,4XL,,,Not Specified,Not Specified,"101% Cotton, 5% Polyurethane",,,20
79,33,5XL,,,Not Specified,Not Specified,"102% Cotton, 5% Polyurethane",,,20
80,34,XS,,,Not Specified,Not Specified,"103% Cotton, 5% Polyurethane",,,20
81,34,S,,,Not Specified,Not Specified,"104% Cotton, 5% Polyurethane",,,20
82,34,M,,,Not Specified,Not Specified,"105% Cotton, 5% Polyurethane",,,20
83,34,L,,,Not Specified,Not Specified,"106% Cotton, 5% Polyurethane",,,20
84,34,XL,,,Not Specified,Not Specified,"107% Cotton, 5% Polyurethane",,,20
85,34,XXL,,,Not Specified,Not Specified,"108% Cotton, 5% Polyurethane",,,20
86,34,4XL,,,Not Specified,Not Specified,"109% Cotton, 5% Polyurethane",,,20
87,34,5XL,,,Not Specified,Not Specified,"110% Cotton, 5% Polyurethane",,,20
88,1,128GB Gunmetal,#5A5050,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,479
89,1,128GB SoftGold,#B1A897,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,479
