imageId,optionId,imageUrl
1,1,/oneplus3t/3t.png
2,1,/oneplus3t/3t-back.png
3,2,/oneplus3t/3t-gold.png
4,2,/oneplus3t/3t-back.png
5,3,/cases/3t-protective-case/sandstone/back.png
6,3,/cases/3t-protective-case/sandstone/back-side-left.png
7,3,/cases/3t-protective-case/sandstone/back-side-right.png
8,3,/cases/3t-protective-case/sandstone/front.png
9,3,/cases/3t-protective-case/sandstone/side.png
10,4,/cases/3t-protective-case/bamboo/back.png
11,4,/cases/3t-protective-case/bamboo/back-side-left.png
12,4,/cases/3t-protective-case/bamboo/back-side-right.png
13,4,/cases/3t-protective-case/bamboo/front.png
14,4,/cases/3t-protective-case/bamboo/side.png
15,5,/cases/3t-protective-case/ebony-wood/back.png
16,5,/cases/3t-protective-case/ebony-wood/back-side-left.png
17,5,/cases/3t-protective-case/ebony-wood/back-side-right.png
18,5,/cases/3t-protective-case/ebony-wood/front.png
19,5,/cases/3t-protective-case/ebony-wood/side.png
20,6,/cases/3t-protective-case/karbon/back.png
21,6,/cases/3t-protective-case/karbon/back-side-left.png
22,6,/cases/3t-protective-case/karbon/back-side-right.png
23,6,/cases/3t-protective-case/karbon/front.png
24,6,/cases/3t-protective-case/karbon/side.png
25,7,/cases/3t-protective-case/rosewood/back.png
26,7,/cases/3t-protective-case/rosewood/back-side-left.png
27,7,/cases/3t-protective-case/rosewood/back-side-right.png
28,7,/cases/3t-protective-case/rosewood/front.png
29,7,/cases/3t-protective-case/rosewood/side.png
30,8,/cases/3t-flipcover/black/back.png
31,8,/cases/3t-flipcover/black/front.png
32,8,/cases/3t-flip-cover/black/side.png
33,9,/cases/3t-flipcover/gray/back.png
34,9,/cases/3t-flipcover/gray/front.png
35,9,/cases/3t-flip-cover/gray/side.png
36,10,/cases/3t-otterbox/cardinal-red/back.png
37,10,/cases/3t-otterbox/cardinal-red/back-front.png
38,10,/cases/3t-otterbox/cardinal-red/front.png
39,11,/cases/3t-otterbox/dark-matter/back.png
40,11,/cases/3t-otterbox/dark-matter/back-front.png
41,11,/cases/3t-otterbox/dark-matter/front.png
42,12,/cases/3t-otterbox/saharan-white/back.png
43,12,/cases/3t-otterbox/saharan-white/back-front.png
44,12,/cases/3t-otterbox/saharan-white/front.png
45,13,/cases/2-styleswap/bamboo/back.png
46,14,/cases/2-styleswap/black-apricot/back.jpg
47,15,/cases/2-styleswap/karbon/back.jpg
48,16,/cases/2-styleswap/rosewood/back.jpg
49,17,/cases/2-flipcover/black/black-front.png
50,18,/cases/2-flipcover/white/white-front.png
51,19,/cases/2-flipcover/gray/gray-front.png
52,20,/cases/2-flipcover/blue/blue-front.png
53,21,/cases/2-flipcover/yellow/yellow-front.png
54,22,/cases/2-siliconecase/red/red-back.png
55,23,/cases/2-siliconecase/white/white-back.png
56,24,/cases/2-siliconecase/blue/blue-back.png
57,25,/cases/x-protective-case/sandstone/sandstone-back.png
58,26,/cases/x-protective-case/bamboo/bamboo-back.png
59,27,/cases/x-protective-case/black-apricot/black-apricot-back.png
60,28,/cases/x-protective-case/karbon/karbon-back.png
61,29,/cases/x-protective-case/rosewood/rosewood-back.png
62,30,/cases/x-flipcover/black/black-front.png
63,31,/cases/x-flipcover/white/white-front.png
