optionId,optionName,optionImageColor,optionImageIcon,optionImage1,optionImage2,optionImage3,optionImage4,optionImage5,optionDimensions,optionWeight,optionMaterials,optionInput,optionOutput,optionPrice
40,Ocean,#333C4B,,/cases/x-hard-graft-case/ocean/ocean-front.png,/cases/x-hard-graft-case/ocean/ocean-back.png,/cases/x-hard-graft-case/ocean/ocean-side.png,,,,,"Rich Tuscan vegetable tan leather, German wool felt",,,59.49
41,Neutral,#797876,,/cases/x-hard-graft-case/ocean/neutral-front.png,/cases/x-hard-graft-case/ocean/neutral-back.png,/cases/x-hard-graft-case/ocean/neutral-side.png,,,,,"Rich Tuscan vegetable tan leather, German wool felt",,,59.49
42,Black,#333333,,/cases/powerbank-silicone/black/black-front.png,,,,,159.7 x 81 x 15.5 mm,49.45g,Silicone,,,4.54
43,White,#FFFFFF,,/cases/powerbank-silicone/white/white-front.png,,,,,159.7 x 81 x 15.5 mm,49.45g,Silicone,,,4.54
44,Green,#A9C500,,/cases/powerbank-silicone/green/green-front.png,,,,,159.7 x 81 x 15.5 mm,49.45g,Silicone,,,4.54
45,Blue,#33AFD9,,/cases/powerbank-silicone/blue/blue-front.png,,,,,159.7 x 81 x 15.5 mm,49.45g,Silicone,,,4.54
46,Sandstone,#333333,,/cases/iphone6-6s-case/sandstone/back.png,/cases/iphone6-6s-case/sandstone/back-side-left.png,,,,Not Specified,Not Specified,PC,,,13.99
47,Black,#333333,,/screen-protectors/3-3t-curved-glass/black/box.png,/screen-protectors/3-3t-curved-glass/black/black-front.png,,,,149.6 x 71.5 x 0.6mm,12g,Glass,,,19.95
48,White,#FFFFFF,,/screen-protectors/3-3t-curved-glass/white/box.png,/screen-protectors/3-3t-curved-glass/white/white-front.png,,,,149.6 x 71.5 x 0.6mm,12g,Glass,,,19.95
49,,,,/screen-protectors/3-3t-glass/box.png,/screen-protectors/3-3t-glass/front.png,/screen-protectors/3-3t-glass/front-side-right.png,/screen-protectors/3-3t-glass/front-side-horizontal.png,,144 x 66.2 x 0.45mm,9g,Glass,,,12.95
50,,,,/screen-protectors/2-premium/box.png,,,,,148.8 x 71.9 x 0.15mm,4.5g,PET,,,5.99
51,,,,/screen-protectors/x-glass/box.png,,,,,132.5 x 62 x 0.2mm,9g,Tempered Glass,,,12.99
52,,,,/screen-protectors/x-premium/box.png,,,,,132.5 x 62 x 0.15mm,4g,PET,,,5.99
53,US 100cm,,,/chargers/dash-power-adapter/front.png,,,,,33 x 33 x 70mm,71g,PC,100-240V~50/60Hz 0.6A,5V=4A,19.95
54,US 150cm,,,/chargers/dash-power-adapter/front.png,,,,,33 x 33 x 70mm,71g,PC,100-240V~50/60Hz 0.6A,5V=4A,19.95
55,100cm,,,/cables/dash-cable/100/side.png,,,,,100cm long,40g,TPE+PC+PBT,,,14.95
56,150cm,,,/cables/dash-cable/150/side.png,,,,,150cm long,56g,TPE+PC+PBT,,,19.95
57,,,,/cables/c-otg/side-stretched,/cables/c-otg/side-curled,,,,10cm long,10g,TPE,,,9.95
58,,,,/chargers/dash-car-charger/side-right.png,/chargers/dash-car-charger/top-down.png,/chargers/dash-car-charger/included-cable.png,,,,,Not Specified,12V/24V=2.5A,Dash Charge: 3.4V~5V=3.5AStandard: 5V=2A,29.95
59,,,,/cables/micro-usb/150/side.png,,,,,150cm long,,Not Specified,,,5.99
60,,,,/cables/micro-usb-otg/side-curled.png,,,,,7.5cm long,13g,Not Specified,,,7.99
61,,,,/chargers/usb-power-adapter/side.png,,,,,Not Specified,,Not Specified,,,6.99
62,Black,#333333,,/power-banks/oneplus-power-bank/black/front.png,,,,,142.8 × 72.6 × 16.2 mm,220g,Not Specified,"DC 5V/2A, Output 2 USB","5V/2A (One device), 5V/1A (Two devices)",19.00
63,White,#FFFFFF,,/power-banks/oneplus-power-bank/white/front.png,,,,,142.8 × 72.6 × 16.2 mm,220g,Not Specified,"DC 5V/2A, Output 2 USB","5V/2A (One device), 5V/1A (Two devices)",19.00
64,Black,#333333,,/audio/bullets-v2/black/front.png,,,,,Not Specified,Not Specified,Not Specified,,,19.95
65,White,#FFFFFF,,/audio/bullets-v2/white/front.png,,,,,Not Specified,Not Specified,Not Specified,,,19.95
66,Gold,#EFDFB4,,/audio/icons/gold/front.jpg,,,,,Not Specified,Not Specified,Not Specified,,,49.99
67,Graphite,#B9B9B9,,/audio/icons/graphite/front.jpg,,,,,Not Specified,Not Specified,Not Specified,,,49.99
68,,,,/gear/oneplus-travel-backpack/side-left.png,/gear/oneplus-travel-backpack/front.png,/gear/oneplus-travel-backpack/back.png,,,445 x 150 x 450mm,708g,600D Polyester,,,50.00
69,Black,#333333,,/gear/oneplus-travel-messenger/black/side-left.png,,,,,350 x 130 x 390mm,740g,Canvas,,,50.00
70,Blue Gray,#3F5263,,/gear/oneplus-travel-messenger/blue-gray/side-left.png,,,,,351 x 130 x 390mm,741g,Canvas,,,50.00
71,,,,/gear/oneplus-leather-messenger/side-left.png,/gear/oneplus-leather-messenger/side.png,/gear/oneplus-leather-messenger/back.png,,,380 x 290 x 130mm,930g,Canvas + Leather,,,99.00
72,XS,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"95% Cotton, 5% Polyurethane",,,20.00
73,S,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"96% Cotton, 5% Polyurethane",,,20.00
74,M,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"97% Cotton, 5% Polyurethane",,,20.00
75,L,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"98% Cotton, 5% Polyurethane",,,20.00
76,XL,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"99% Cotton, 5% Polyurethane",,,20.00
77,XXL,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"100% Cotton, 5% Polyurethane",,,20.00
78,4XL,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"101% Cotton, 5% Polyurethane",,,20.00
79,5XL,,,/gear/oneplus-ns-tshirt/front.png,,,,,Not Specified,Not Specified,"102% Cotton, 5% Polyurethane",,,20.00
80,XS,,,/gear/oneplus-leather-messenger/side-left.png,,,,,Not Specified,Not Specified,"103% Cotton, 5% Polyurethane",,,20.00
81,S,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"104% Cotton, 5% Polyurethane",,,20.00
82,M,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"105% Cotton, 5% Polyurethane",,,20.00
83,L,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"106% Cotton, 5% Polyurethane",,,20.00
84,XL,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"107% Cotton, 5% Polyurethane",,,20.00
85,XXL,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"108% Cotton, 5% Polyurethane",,,20.00
86,4XL,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"109% Cotton, 5% Polyurethane",,,20.00
87,5XL,,,/gear/oneplus-dash-tshirt/front.png,,,,,Not Specified,Not Specified,"110% Cotton, 5% Polyurethane",,,20.00
88,128GB Gunmetal,#5A5050,,/oneplus3t/3t,/oneplus3t/3t-back,,,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,479.00
89,128GB SoftGold,#B1A897,,/oneplus3t/3t-gold,/oneplus3t/3t-back,,,,152.7 x 74.7 x 7.35 mm,158g,Anodized aluminum,,,479.00
